"day","aliveThatDay","diedThatDay","totalDeaths",
"0","10","0","0",
"1","10","0","0",
"2","10","0","0",
"3","10","0","0",
"4","10","0","0",
"5","10","0","0",
"6","10","0","0",
"7","10","0","0",
"8","10","0","0",
"9","11","0","0",
"10","11","0","0",
"11","12","0","0",
"12","12","0","0",
"13","12","0","0",
"14","13","0","0",
"15","13","0","0",
"16","13","0","0",
"17","13","0","0",
"18","15","0","0",
"19","16","0","0",
"20","17","0","0",
"21","18","0","0",
"22","18","0","0",
"23","18","0","0",
"24","18","0","0",
"25","18","0","0",
"26","19","0","0",
"27","19","0","0",
"28","21","0","0",
"29","21","0","0",
"30","23","0","0",
"31","23","0","0",
"32","23","0","0",
"33","25","0","0",
"34","27","0","0",
"35","29","0","0",
"36","31","0","0",
"37","33","0","0",
"38","34","0","0",
"39","36","0","0",
"40","38","1","1",
"41","40","0","1",
"42","44","0","1",
"43","46","0","1",
"44","50","0","1",
"45","52","0","1",
"46","54","0","1",
"47","57","0","1",
"48","61","0","1",
"49","64","1","2",
"50","65","0","2",
"51","65","1","3",
"52","68","0","3",
"53","71","0","3",
"54","72","0","3",
"55","71","2","5",
"56","74","1","6",
"57","76","1","7",
"58","77","1","8",
"59","81","0","8",
"60","81","1","9",
"61","81","2","11",
"62","83","1","12",
"63","81","3","15",
"64","81","1","16",
"65","79","3","19",
"66","80","1","20",
"67","81","2","22",
"68","84","0","22",
"69","84","3","25",
"70","84","4","29",
"71","85","1","30",
"72","88","1","31",
"73","88","1","32",
"74","87","4","36",
"75","88","0","36",
"76","90","1","37",
"77","91","4","41",
"78","92","2","43",
"79","93","2","45",
"80","93","3","48",
"81","95","2","50",
"82","96","3","53",
"83","98","3","56",
"84","100","1","57",
"85","103","1","58",
"86","105","1","59",
"87","107","2","61",
"88","106","2","63",
"89","105","3","66",
"90","105","2","68",
"91","104","4","72",
"92","105","2","74",
"93","104","3","77",
"94","106","1","78",
"95","106","3","81",
"96","106","1","82",
"97","106","3","85",
"98","102","6","91",
"99","103","2","93",
"100","104","3","96",
"101","106","1","97",
"102","103","3","100",
"103","99","5","105",
"104","98","4","109",
"105","97","2","111",
"106","95","5","116",
"107","96","2","118",
"108","95","5","123",
"109","97","2","125",
"110","96","2","127",
"111","95","3","130",
"112","95","2","132",
"113","94","2","134",
"114","93","2","136",
"115","94","1","137",
"116","97","1","138",
"117","98","0","138",
"118","100","3","141",
"119","98","4","145",
"120","99","3","148",
"121","100","1","149",
"122","99","4","153",
"123","104","0","153",
"124","107","1","154",
"125","109","4","158",
"126","110","1","159",
"127","110","2","161",
"128","105","5","166",
"129","101","5","171",
"130","100","3","174",
"131","99","2","176",
"132","98","2","178",
"133","97","2","180",
"134","98","2","182",
"135","100","1","183",
"136","98","2","185",
"137","94","5","190",
"138","94","1","191",
"139","93","4","195",
"140","92","3","198",
"141","91","3","201",
"142","89","2","203",
"143","86","4","207",
"144","81","5","212",
"145","75","6","218",
"146","76","3","221",
"147","77","2","223",
"148","77","2","225",
"149","78","1","226",
"150","82","2","228",
"151","79","3","231",
"152","79","1","232",
"153","80","1","233",
"154","83","1","234",
"155","81","4","238",
"156","78","4","242",
"157","79","2","244",
"158","78","2","246",
"159","79","1","247",
"160","79","3","250",
"161","78","3","253",
"162","79","1","254",
"163","83","1","255",
"164","83","1","256",
"165","87","0","256",
"166","90","0","256",
"167","90","3","259",
"168","90","2","261",
"169","91","2","263",
"170","91","3","266",
"171","89","4","270",
"172","89","1","271",
"173","89","1","272",
"174","89","2","274",
"175","86","4","278",
"176","88","2","280",
"177","87","2","282",
"178","92","0","282",
"179","96","0","282",
"180","97","3","285",
"181","97","3","288",
"182","95","3","291",
"183","98","0","291",
"184","97","4","295",
"185","97","2","297",
"186","99","3","300",
"187","100","2","302",
"188","101","2","304",
"189","100","2","306",
"190","100","3","309",
"191","101","3","312",
"192","98","3","315",
"193","100","1","316",
"194","101","1","317",
"195","100","2","319",
"196","103","1","320",
"197","106","1","321",
"198","108","3","324",
"199","106","4","328",
"200","103","5","333",
"201","101","2","335",
"202","98","3","338",
"203","99","1","339",
"204","97","2","341",
"205","98","2","343",
"206","95","4","347",
"207","93","5","352",
"208","91","2","354",
"209","90","2","356",
"210","91","1","357",
"211","89","4","361",
"212","85","4","365",
"213","85","1","366",
"214","88","0","366",
"215","90","1","367",
"216","89","2","369",
"217","85","5","374",
"218","80","7","381",
"219","81","4","385",
"220","81","3","388",
"221","81","2","390",
"222","83","0","390",
"223","84","0","390",
"224","86","1","391",
"225","88","0","391",
"226","86","5","396",
"227","86","2","398",
"228","87","2","400",
"229","88","0","400",
"230","88","2","402",
"231","88","2","404",
"232","91","2","406",
"233","95","0","406",
"234","94","2","408",
"235","96","3","411",
"236","96","2","413",
"237","99","0","413",
"238","100","1","414",
"239","101","2","416",
"240","102","3","419",
"241","100","4","423",
"242","100","2","425",
"243","101","2","427",
"244","102","0","427",
"245","100","3","430",
"246","100","2","432",
"247","97","4","436",
"248","99","2","438",
"249","96","4","442",
"250","96","1","443",
"251","95","2","445",
"252","94","2","447",
"253","91","5","452",
"254","91","2","454",
"255","93","1","455",
"256","92","4","459",
"257","91","2","461",
"258","89","3","464",
"259","91","2","466",
"260","95","1","467",
"261","94","6","473",
"262","92","2","475",
"263","89","3","478",
"264","89","4","482",
"265","91","1","483",
"266","91","1","484",
"267","91","1","485",
"268","90","1","486",
"269","87","5","491",
"270","87","1","492",
"271","86","2","494",
"272","86","1","495",
"273","85","2","497",
"274","85","4","501",
"275","89","1","502",
"276","88","3","505",
"277","85","3","508",
"278","86","1","509",
"279","88","1","510",
"280","85","4","514",
"281","80","5","519",
"282","79","4","523",
"283","81","0","523",
"284","82","2","525",
"285","81","5","530",
"286","80","3","533",
"287","81","0","533",
"288","82","2","535",
"289","85","0","535",
"290","85","3","538",
"291","86","1","539",
"292","87","1","540",
"293","87","0","540",
"294","89","1","541",
"295","87","3","544",
"296","87","5","549",
"297","86","2","551",
"298","91","0","551",
"299","94","1","552",
"300","94","4","556",
"301","97","1","557",
"302","98","0","557",
"303","101","1","558",
"304","102","2","560",
"305","101","4","564",
"306","100","3","567",
"307","99","2","569",
"308","99","2","571",
"309","100","2","573",
"310","98","2","575",
"311","99","2","577",
"312","99","1","578",
"313","99","2","580",
"314","101","0","580",
"315","100","2","582",
"316","101","1","583",
"317","97","6","589",
"318","97","1","590",
"319","93","5","595",
"320","91","3","598",
"321","89","5","603",
"322","87","5","608",
"323","90","0","608",
"324","88","4","612",
"325","90","2","614",
"326","88","5","619",
"327","87","2","621",
"328","87","2","623",
"329","88","2","625",
"330","87","3","628",
"331","86","1","629",
"332","82","4","633",
"333","81","2","635",
"334","80","1","636",
"335","80","1","637",
"336","86","0","637",
"337","86","2","639",
"338","84","2","641",
"339","87","0","641",
"340","91","2","643",
"341","90","1","644",
"342","89","3","647",
"343","90","2","649",
"344","91","4","653",
"345","89","2","655",
"346","86","5","660",
"347","87","2","662",
"348","88","1","663",
"349","86","2","665",
"350","82","5","670",
"351","82","3","673",
"352","84","0","673",
"353","85","0","673",
"354","84","2","675",
"355","87","0","675",
"356","91","0","675",
"357","89","5","680",
"358","88","1","681",
"359","91","0","681",
"360","90","3","684",
"361","87","5","689",
"362","90","0","689",
"363","91","2","691",
