"day","aliveThatDay","diedThatDay","totalDeaths",
"0","10","0","0",
"1","10","0","0",
"2","10","0","0",
"3","10","0","0",
"4","10","0","0",
"5","10","0","0",
"6","10","0","0",
"7","10","0","0",
"8","10","0","0",
"9","10","0","0",
"10","10","0","0",
"11","10","0","0",
"12","10","0","0",
"13","10","0","0",
"14","11","0","0",
"15","11","0","0",
"16","11","0","0",
"17","11","0","0",
"18","11","0","0",
"19","11","0","0",
"20","11","0","0",
"21","12","0","0",
"22","12","0","0",
"23","12","0","0",
"24","12","0","0",
"25","13","0","0",
"26","13","0","0",
"27","13","0","0",
"28","13","0","0",
"29","13","0","0",
"30","13","0","0",
"31","13","0","0",
"32","13","0","0",
"33","14","0","0",
"34","14","0","0",
"35","14","0","0",
"36","14","0","0",
"37","14","0","0",
"38","15","0","0",
"39","15","0","0",
"40","15","0","0",
"41","16","0","0",
"42","19","0","0",
"43","19","0","0",
"44","19","0","0",
"45","19","0","0",
"46","19","0","0",
"47","21","0","0",
"48","22","0","0",
"49","22","0","0",
"50","23","0","0",
"51","24","0","0",
"52","26","0","0",
"53","26","0","0",
"54","26","0","0",
"55","26","0","0",
"56","27","0","0",
"57","28","0","0",
"58","30","0","0",
"59","30","1","1",
"60","31","0","1",
"61","34","0","1",
"62","38","0","1",
"63","36","2","3",
"64","36","0","3",
"65","37","0","3",
"66","38","0","3",
"67","38","0","3",
"68","40","1","4",
"69","41","0","4",
"70","41","0","4",
"71","46","0","4",
"72","47","0","4",
"73","48","0","4",
"74","49","0","4",
"75","52","0","4",
"76","53","0","4",
"77","55","0","4",
"78","57","0","4",
"79","57","1","5",
"80","58","0","5",
"81","59","1","6",
"82","58","2","8",
"83","57","4","12",
"84","62","0","12",
"85","62","0","12",
"86","64","0","12",
"87","66","1","13",
"88","67","0","13",
"89","68","2","15",
"90","69","2","17",
"91","71","0","17",
"92","69","2","19",
"93","71","1","20",
"94","75","0","20",
"95","76","1","21",
"96","77","3","24",
"97","78","1","25",
"98","80","2","27",
"99","80","2","29",
"100","84","0","29",
"101","85","1","30",
"102","88","1","31",
"103","91","1","32",
"104","91","2","34",
"105","92","3","37",
"106","95","0","37",
"107","95","1","38",
"108","94","2","40",
"109","94","1","41",
"110","91","3","44",
"111","91","2","46",
"112","91","2","48",
"113","93","0","48",
"114","92","3","51",
"115","93","3","54",
"116","92","2","56",
"117","92","2","58",
"118","91","2","60",
"119","89","3","63",
"120","88","3","66",
"121","89","3","69",
"122","89","2","71",
"123","88","5","76",
"124","87","4","80",
"125","87","1","81",
"126","82","5","86",
"127","80","4","90",
"128","80","1","91",
"129","81","1","92",
"130","81","2","94",
"131","81","1","95",
"132","81","1","96",
"133","83","2","98",
"134","82","3","101",
"135","80","2","103",
"136","78","3","106",
"137","79","1","107",
"138","81","2","109",
"139","84","0","109",
"140","87","0","109",
"141","87","1","110",
"142","88","4","114",
"143","89","1","115",
"144","88","4","119",
"145","88","2","121",
"146","91","0","121",
"147","93","0","121",
"148","91","4","125",
"149","93","2","127",
"150","92","4","131",
"151","93","2","133",
"152","95","2","135",
"153","99","0","135",
"154","99","4","139",
"155","101","2","141",
"156","104","0","141",
"157","107","1","142",
"158","107","2","144",
"159","109","4","148",
"160","107","3","151",
"161","110","2","153",
"162","109","2","155",
"163","107","3","158",
"164","108","1","159",
"165","108","3","162",
"166","109","1","163",
"167","109","2","165",
"168","108","2","167",
"169","106","3","170",
"170","106","2","172",
"171","106","3","175",
"172","106","3","178",
"173","102","5","183",
"174","103","2","185",
"175","100","5","190",
"176","97","5","195",
"177","95","3","198",
"178","94","3","201",
"179","91","3","204",
"180","86","5","209",
"181","84","2","211",
"182","79","5","216",
"183","82","1","217",
"184","82","2","219",
"185","80","2","221",
"186","79","3","224",
"187","79","2","226",
"188","78","2","228",
"189","82","1","229",
"190","85","1","230",
"191","84","2","232",
"192","81","4","236",
"193","82","2","238",
"194","85","1","239",
"195","84","3","242",
"196","83","3","245",
"197","83","2","247",
"198","84","1","248",
"199","83","2","250",
"200","83","0","250",
"201","87","0","250",
"202","88","1","251",
"203","90","1","252",
"204","89","3","255",
"205","86","4","259",
"206","90","0","259",
"207","90","2","261",
"208","92","1","262",
"209","94","0","262",
"210","93","3","265",
"211","92","4","269",
"212","92","1","270",
"213","92","1","271",
"214","90","4","275",
"215","89","3","278",
"216","91","1","279",
"217","92","3","282",
"218","94","2","284",
"219","96","2","286",
"220","95","1","287",
"221","97","0","287",
"222","96","3","290",
"223","98","1","291",
"224","95","4","295",
"225","94","2","297",
"226","95","1","298",
"227","92","6","304",
"228","92","2","306",
"229","90","3","309",
"230","91","3","312",
"231","93","1","313",
"232","92","3","316",
"233","92","0","316",
"234","94","0","316",
"235","93","2","318",
"236","95","1","319",
"237","94","4","323",
"238","93","3","326",
"239","93","2","328",
"240","93","2","330",
"241","93","1","331",
"242","92","2","333",
"243","90","4","337",
"244","89","4","341",
"245","92","1","342",
"246","95","1","343",
"247","97","2","345",
"248","98","0","345",
"249","97","3","348",
"250","97","2","350",
"251","99","3","353",
"252","99","3","356",
"253","98","3","359",
"254","98","1","360",
"255","96","2","362",
"256","99","0","362",
"257","98","3","365",
"258","97","3","368",
"259","95","2","370",
"260","95","2","372",
"261","94","2","374",
"262","92","3","377",
"263","94","1","378",
"264","95","1","379",
"265","95","2","381",
"266","93","4","385",
"267","92","4","389",
"268","92","3","392",
"269","95","0","392",
"270","96","2","394",
"271","98","3","397",
"272","96","5","402",
"273","95","1","403",
"274","97","2","405",
"275","99","2","407",
"276","100","1","408",
"277","99","3","411",
"278","96","5","416",
"279","97","2","418",
"280","98","1","419",
"281","101","0","419",
"282","103","2","421",
"283","104","2","423",
"284","102","4","427",
"285","101","1","428",
"286","101","2","430",
"287","103","2","432",
"288","102","3","435",
"289","100","3","438",
"290","98","3","441",
"291","96","2","443",
"292","93","5","448",
"293","92","3","451",
"294","94","0","451",
"295","90","5","456",
"296","92","3","459",
"297","93","2","461",
"298","93","2","463",
"299","94","2","465",
"300","97","1","466",
"301","96","2","468",
"302","95","4","472",
"303","93","4","476",
"304","94","3","479",
"305","96","2","481",
"306","99","1","482",
"307","99","1","483",
"308","100","2","485",
"309","99","2","487",
"310","101","0","487",
"311","101","3","490",
"312","103","0","490",
"313","103","2","492",
"314","102","2","494",
"315","102","4","498",
"316","104","0","498",
"317","104","4","502",
"318","104","2","504",
"319","101","4","508",
"320","100","3","511",
"321","98","4","515",
"322","100","1","516",
"323","100","4","520",
"324","100","2","522",
"325","97","3","525",
"326","93","5","530",
"327","92","3","533",
"328","94","1","534",
"329","92","3","537",
"330","91","1","538",
"331","90","3","541",
"332","88","4","545",
"333","88","2","547",
"334","90","2","549",
"335","92","1","550",
"336","94","1","551",
"337","96","2","553",
"338","94","4","557",
"339","96","2","559",
"340","98","1","560",
"341","102","0","560",
"342","102","2","562",
"343","103","2","564",
"344","102","3","567",
"345","102","3","570",
"346","103","0","570",
"347","104","1","571",
"348","104","3","574",
"349","104","2","576",
"350","104","3","579",
"351","104","0","579",
"352","104","2","581",
"353","104","2","583",
"354","102","3","586",
"355","99","4","590",
"356","98","3","593",
"357","98","3","596",
"358","97","3","599",
"359","98","2","601",
"360","97","3","604",
"361","98","2","606",
"362","97","3","609",
"363","99","1","610",
"364","97","3","613",
"365","95","3","616",
"366","93","4","620",
"367","94","2","622",
"368","94","4","626",
"369","93","2","628",
"370","94","2","630",
"371","96","2","632",
"372","98","0","632",
"373","98","3","635",
"374","95","3","638",
"375","94","1","639",
"376","92","2","641",
"377","93","1","642",
"378","94","2","644",
"379","96","1","645",
"380","94","4","649",
"381","90","4","653",
"382","90","3","656",
"383","90","2","658",
"384","90","3","661",
"385","92","1","662",
"386","90","2","664",
"387","88","3","667",
"388","87","3","670",
"389","86","3","673",
"390","85","3","676",
"391","83","3","679",
"392","81","2","681",
"393","79","3","684",
"394","77","4","688",
"395","80","0","688",
"396","83","1","689",
"397","84","0","689",
"398","85","2","691",
"399","84","3","694",
"400","82","3","697",
"401","84","1","698",
"402","85","1","699",
"403","88","3","702",
"404","90","2","704",
"405","91","3","707",
"406","86","5","712",
"407","87","1","713",
"408","86","2","715",
"409","84","3","718",
"410","87","0","718",
"411","85","3","721",
"412","85","1","722",
"413","86","1","723",
"414","87","0","723",
"415","88","1","724",
